,did,dname
0,dpt-23459,AAS       
1,dpt-25725,ABG       
2,dpt-23462,ABI       
3,dpt-23463,ABT       
4,dpt-38037,ACC       
5,dpt-23464,AED       
6,dpt-23465,AGC       
7,dpt-23467,AHI       
8,dpt-23469,AMS       
9,dpt-23470,ANB       
10,dpt-23471,ANG       
11,dpt-23472,ANS       
12,dpt-23473,ANT       
13,dpt-23475,ARB       
14,dpt-23476,ARE       
15,dpt-23477,ART       
16,dpt-23478,ASA       
17,dpt-23480,AST       
18,dpt-23482,ATM       
19,dpt-23483,AVS       
20,dpt-44035,BAX       
21,dpt-23484,BIM       
22,dpt-23485,BIS       
23,dpt-23481,BIT       
24,dpt-23487,BPH       
25,dpt-23488,BST       
26,dpt-42854,CDM       
27,dpt-23491,CHA       
28,dpt-23492,CHE       
29,dpt-23493,CHI       
30,dpt-23494,CHN       
31,dpt-23495,CLA       
32,dpt-23498,CMN       
33,dpt-23499,CNS       
34,dpt-23500,COM       
35,dpt-23501,CRD       
36,dpt-23502,CRI       
37,dpt-23503,CST       
38,dpt-43042,CTS       
39,dpt-23504,DES       
40,dpt-23505,DRA       
41,dpt-23506,EAD       
42,dpt-23507,EAE       
43,dpt-23509,EAP       
44,dpt-23510,EAS       
45,dpt-23511,EBS       
46,dpt-23512,ECH       
47,dpt-23513,ECI       
48,dpt-23514,ECL       
49,dpt-23516,ECN       
50,dpt-23517,ECS       
51,dpt-23519,EDU       
52,dpt-23520,EEC       
53,dpt-23522,EME       
54,dpt-23523,EMS       
55,dpt-23524,ENG       
56,dpt-23525,ENH       
57,dpt-23526,ENL       
58,dpt-23528,ENT       
59,dpt-35788,ESM       
60,dpt-23532,ESP       
61,dpt-23534,ETX       
62,dpt-23535,EVE       
63,dpt-23536,EXB       
64,dpt-23538,FMS       
65,dpt-33403,FOR       
66,dpt-23539,FPS       
67,dpt-23540,FRE       
68,dpt-23541,FRS       
69,dpt-23542,FSM       
70,dpt-23543,FST       
71,dpt-42855,GDB       
72,dpt-23544,GEL       
73,dpt-23545,GEO       
74,dpt-23546,GER       
75,dpt-23547,GGG       
76,dpt-23548,GRK       
77,dpt-23549,HDE       
78,dpt-23550,HEB       
79,dpt-23551,HIN       
80,dpt-23552,HIS       
81,dpt-42609,HMR       
82,dpt-23553,HNR       
83,dpt-23555,HRT       
84,dpt-23556,HUM       
85,dpt-23557,HYD       
86,dpt-23558,IAD       
87,dpt-23561,IRE       
88,dpt-23562,IST       
89,dpt-23563,ITA       
90,dpt-23564,JPN       
91,dpt-23566,LAT       
92,dpt-23568,LDA       
93,dpt-23569,LIN       
94,dpt-23571,MAE       
95,dpt-23572,MAT       
96,dpt-23573,MCB       
97,dpt-23574,MCP       
98,dpt-28755,MGB       
99,dpt-28735,MGP       
100,dpt-23575,MGT       
101,dpt-23576,MIC       
102,dpt-23579,MSA       
103,dpt-23580,MSC       
104,dpt-23581,MST       
105,dpt-23582,MUS       
106,dpt-23584,NAS       
107,dpt-23585,NEM       
108,dpt-23586,NPB       
109,dpt-42084,NRS       
110,dpt-23587,NSC       
111,dpt-23588,NUT       
112,dpt-42083,PAS       
113,dpt-23590,PBG       
114,dpt-23591,PBI       
115,dpt-43239,PER       
116,dpt-38964,PFS       
117,dpt-23594,PHE       
118,dpt-23595,PHI       
119,dpt-23597,PHY       
120,dpt-23598,PLB       
121,dpt-23599,PLP       
122,dpt-23600,PLS       
123,dpt-23602,POL       
124,dpt-23461,POR       
125,dpt-23604,PSC       
126,dpt-23605,PTX       
127,dpt-42610,REL       
128,dpt-23606,RST       
129,dpt-23607,RUS       
130,dpt-23608,SAS       
131,dpt-23609,SOC       
132,dpt-23610,SPA       
133,dpt-27258,SPH       
134,dpt-23611,SSC       
135,dpt-23612,STA       
136,dpt-23614,STS       
137,dpt-23615,TCS       
138,dpt-23616,TTP       
139,dpt-23617,TXC       
140,dpt-23618,UCDE      
141,dpt-23619,UWP       
142,dpt-23620,VEN       
143,dpt-23622,WFC       
144,dpt-23623,WLD       
145,dpt-23624,WMS       
146,dpt-23460,XYZ       
